t,f,gId,g
-41.4634146341466,-0.2857142857142870,-6,mean 
-31.70731707317080,-0.31428571428571600,-5,mean 
-14.63414634146350,-0.31428571428571600,-4,mean 
-7.317073170731870,-0.3428571428571430,-3,mean 
-2.439024390243960,-0.3428571428571430,-2,mean 
12.195121951219300,-0.4285714285714300,-1,mean 
26.829268292682900,-1.0000000000000000,0,mean 
34.1463414634145,-1.1714285714285800,1,mean 
43.902439024390100,-1.3142857142857200,2,mean 
53.65853658536570,-1.5714285714285800,3,mean 
68.29268292682920,-1.914285714285720,4,mean 
78.04878048780480,-2.0857142857142900,5,mean 
92.68292682926810,-2.228571428571440,6,mean 
109.75609756097500,-2.314285714285720,7,mean 
124.39024390243900,-2.314285714285720,8,mean 
141.46341463414600,-2.1428571428571500,9,mean 
151.21951219512200,-1.9714285714285800,10,mean 
165.85365853658500,-1.8285714285714300,11,mean 
190.2439024390240,-1.6857142857142900,12,mean 
207.31707317073200,-1.5428571428571500,13,mean 
231.70731707317100,-1.3714285714285700,14,mean 
246.34146341463400,-1.3142857142857200,15,mean 
270.73170731707300,-1.085714285714290,16,mean 
297.56097560975600,-0.8857142857142880,17,mean 
321.95121951219500,-0.771428571428574,18,mean 
353.65853658536600,-0.6571428571428590,19,mean 
380.48780487804900,-0.571428571428573,20,mean 
402.43902439024400,-0.5142857142857150,21,mean 
24.390243902438900,-1.1142857142857200,0, std
31.707317073170500,-1.342857142857150,1, std
41.463414634146400,-1.400000000000000,2, std
53.65853658536570,-1.7142857142857200,3, std
65.85365853658530,-2.11428571428572,4, std
75.60975609756090,-2.3428571428571500,5, std
92.68292682926810,-2.485714285714290,6, std
109.75609756097500,-2.628571428571440,7, std
124.39024390243900,-2.628571428571440,8, std
141.46341463414600,-2.428571428571440,9, std
151.21951219512200,-2.228571428571440,10, std
165.85365853658500,-2.1428571428571500,11, std
190.2439024390240,-1.9428571428571500,12, std
207.31707317073200,-1.8000000000000100,13, std
229.26829268292700,-1.657142857142860,14, std
246.34146341463400,-1.6285714285714300,15, std
270.73170731707300,-1.342857142857150,16, std
297.56097560975600,-1.1714285714285800,17, std
319.5121951219510,-1.085714285714290,18, std
353.65853658536600,-0.9714285714285740,19, std
378.04878048780500,-0.8571428571428590,20, std
404.8780487804880,-0.828571428571431,21, std
