Traw,t,Kraw,k
-722.3106546854950,0.0000000000000,-9.951219512195140,0.000000000000000
-717.5738125802320,4736.8421052630000,-9.951219512195140,0.000000000000000
-715.9948652118110,6315.7894736840000,-9.951219512195140,0.000000000000000
-714.4159178433900,7894.7368421050000,-9.951219512195140,0.000000000000000
-711.258023106548,11052.631578947,-9.951219512195140,0.000000000000000
-708.1001283697060,14210.5263157890000,-9.951219512195140,0.000000000000000
-704.9422336328640,17368.4210526310000,-9.951219512195140,0.000000000000000
-701.7843388960220,20526.3157894730000,-9.951219512195140,0.000000000000000
-699.8973042362010,22413.3504492940000,-9.756097560975630,0.195121951219510
-699.5892169448020,22721.4377406930000,-9.560975609756110,0.390243902439030
-699.2041078305530,23106.5468549420000,-9.317073170731720,0.634146341463420
-698.8960205391540,23414.6341463410000,-9.121951219512210,0.829268292682930
-696.9319640564840,25378.6906290110000,-8.87804878048782,1.07317073170732
-696.5468549422350,25763.7997432600000,-8.634146341463430,1.317073170731710
-694.5827984595650,27727.8562259300000,-8.390243902439040,1.560975609756100
-694.1206675224660,28189.9871630290000,-8.09756097560977,1.85365853658537
-693.7355584082170,28575.0962772780000,-7.853658536585380,2.097560975609760
-691.8485237483970,30462.1309370980000,-7.658536585365870,2.292682926829270
-689.8844672657260,32426.1874197690000,-7.414634146341480,2.536585365853660
-689.5763799743270,32734.2747111680000,-7.219512195121970,2.731707317073170
-684.6084724005150,37702.1822849800000,-7.073170731707330,2.878048780487810
-683.5686777920420,38741.9768934530000,-7.414634146341480,2.536585365853660
-683.2605905006430,39050.0641848520000,-7.219512195121970,2.731707317073170
-682.6059050064200,39704.7496790750000,-7.804878048780510,2.146341463414630
-682.2978177150200,40012.8369704750000,-7.6097560975609900,2.34146341463415
-681.4120667522480,40898.5879332470000,-8.048780487804890,1.902439024390250
-680.5263157894750,41784.3388960200000,-8.487804878048800,1.463414634146340
-680.2182284980760,42092.4261874190000,-8.292682926829280,1.658536585365860
-679.3324775353030,42978.1771501920000,-8.731707317073190,1.219512195121950
-677.9845956354310,44326.0590500640000,-8.87804878048782,1.07317073170732
-676.7137355584090,45596.9191270860000,-9.073170731707340,0.878048780487800
-675.3658536585380,46944.8010269570000,-9.219512195121970,0.731707317073170
-674.017971758666,48292.682926829,-9.365853658536600,0.585365853658540
-671.0911424903730,51219.5121951220000,-9.512195121951240,0.439024390243900
-668.1643132220810,54146.3414634140000,-9.65853658536587,0.29268292682927
-662.0025673940960,60308.0872913990000,-9.756097560975630,0.195121951219510
-657.4197689345330,64890.8857509620000,-9.853658536585390,0.097560975609750
-651.1039794608480,71206.6752246470000,-9.853658536585390,0.097560975609750
-644.8652118100140,77445.4428754810000,-9.902439024390260,0.048780487804880
-638.5494223363300,83761.2323491650000,-9.902439024390260,0.048780487804880
-633.8125802310670,88498.0744544280000,-9.902439024390260,0.048780487804880
-627.4967907573820,94813.8639281130000,-9.902439024390260,0.048780487804880
